Profession,Phi công,Quản lý doanh nghiệp,Bác sĩ,Kĩ sư,Bảo vệ,Luật sư,Thợ máy,Y tá,Cảnh sát,Thư ký,Giáo viên,Lái xe tải
Salary,9500,4600,13200,4900,1600,7500,2000,3100,3000,2500,3300,2500
Savings,400,400,400,400,560,400,670,480,520,710,400,750
Taxes,2350,910,3420,1050,280,1830,360,600,580,460,630,460
HomeMortgagePayment,1335,700,1885,700,187,1073,289,439,429,355,467,355
SchoolLoanPayment,0,60,750,60,0,390,0,30,0,0,60,0
CarLoanPayment,300,120,380,140,80,220,60,100,100,80,100,80
CreditCardPayment,660,90,270,120,60,180,60,90,60,60,90,60
RetailPayment,50,50,50,50,50,50,50,50,50,50,50,50
OtherExpenses,2210,1000,2880,1090,300,1650,450,710,690,570,760,570
ChildExpenses,0,0,0,0,0,0,0,0,0,0,0,0
HomeMortgage,143000,75000,202000,75000,20000,115000,31000,47000,46000,38000,50000,38000
SchoolLoans,0,12000,150000,12000,0,78000,0,6000,0,0,12000,0
CarLoans,15000,6000,19000,7000,4000,11000,3000,5000,5000,4000,5000,4000
CreditCards,22000,3000,9000,4000,2000,6000,2000,3000,2000,2000,3000,2000
RetailDebt,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
